AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-0.017944336,1,0.151000977,0.054324772,-0.005963164,0.044419829
-0.010864258,1.01550293,0.135253906,0.040868417,0.017352303,0.022436674
-0.015136719,1.016113281,0.143676758,0.005562138,0.061984769,-0.026459191
-0.019042969,1.0234375,0.144287109,-0.016021323,0.035205289,-0.057502071
-0.015625,1.02722168,0.139526367,-0.02854506,0.02454679,-0.062031933
-0.012573242,1.027587891,0.141845703,-0.050528214,0.059586607,-0.052572515
-0.015258789,1.029296875,0.132324219,-0.05652362,0.074108812,-0.043379559
-0.012451172,1.032348633,0.131835938,-0.065983038,0.054790282,-0.020463786
-0.014648438,1.031005859,0.12890625,-0.078506775,0.054523819,-0.015400998
-0.006225586,1.029174805,0.12512207,-0.105286254,0.099422747,-0.012736374
-0.008911133,1.024658203,0.125854492,-0.11447921,0.10395261,-0.010338211
-0.017700195,1.013061523,0.134887695,-0.118076453,0.039735152,0.008180931
-0.029052734,1.009643555,0.131835938,-0.117010604,0.011756591,0.015775112
-0.024414063,1.016479492,0.126708984,-0.117143835,0.074242043,0.01670773
-0.023071289,1.019042969,0.130615234,-0.114878904,0.117142502,0.010312631
-0.032226563,1.007080078,0.133300781,-0.099024386,0.121006208,-0.004209574
-0.030273438,1.000610352,0.14440918,-0.078506775,0.080770374,-0.006341274
-0.024047852,1.003173828,0.13671875,-0.046131584,0.011756591,-0.021129942
-0.021728516,1.005126953,0.124755859,-0.038004478,0.021482472,-0.037250922
-0.023193359,1.004516602,0.132324219,-0.017486867,0.080237449,-0.072024276
-0.022827148,1.006958008,0.134643555,-0.007760986,0.070911262,-0.082016619
-0.027832031,1.002441406,0.139282227,0.015554481,0.011756591,-0.087345868
-0.027709961,1.000854492,0.13659668,0.023281893,-0.002898845,-0.084814475
-0.026123047,1.004272461,0.14050293,0.038337023,0.029076652,-0.067627645
-0.0234375,1,0.141235352,0.048995522,0.048261951,-0.05417129
-0.030029297,0.99230957,0.143554688,0.072843914,0.04706287,-0.022462254
-0.03515625,0.994384766,0.139892578,0.080837789,0.041866852,-0.009405593
-0.0390625,1.001098633,0.137573242,0.084701495,0.041067464,-0.000878793
-0.037597656,1.007080078,0.135375977,0.080704558,0.047995489,-0.006208043
-0.040527344,1.010131836,0.137329102,0.066848509,0.062251231,-0.025793035
-0.04284668,1.002807617,0.144287109,0.058987865,0.055856132,-0.035119222
-0.045898438,1.006713867,0.142089844,0.059121097,0.018951078,-0.042979865
-0.042480469,0.994506836,0.141479492,0.058055247,-0.009693639,-0.042180478
-0.038085938,0.996826172,0.134521484,0.04872906,-0.00343177,-0.034586297
-0.031494141,0.999023438,0.140258789,0.039669335,0.037869914,-0.027658273
-0.029907227,0.998046875,0.142089844,0.028611142,0.065582012,-0.008606205
-0.034790039,1.000976563,0.146362305,0.030609611,0.035471752,0.0037843
-0.036132813,0.999145508,0.137817383,0.024614205,-0.007295476,0.017906812
-0.029418945,0.99597168,0.135620117,0.005961832,0.030009271,0.017373887
-0.030273438,1.002441406,0.139892578,-0.002698199,0.031075121,0.01777358
-0.030151367,0.998413086,0.144042969,-0.004296974,0.015753528,0.018173274
-0.033203125,1.005859375,0.139892578,-0.008293911,0.003629485,0.019105893
-0.034301758,1.008300781,0.147705078,-0.011091767,0.006560573,0.020704668
-0.029174805,1.004638672,0.144165039,-0.017353636,0.010024585,0.022436674
-0.026489258,1.013305664,0.137695313,-0.017753329,0.015487066,0.02203698
-0.024780273,1.021850586,0.134765625,-0.027745672,0.027877571,0.008447394
-0.035644531,1.013671875,0.142456055,-0.036672165,0.02881019,-0.001012025
-0.038330078,1.009521484,0.138793945,-0.033341384,0.015353835,-0.014201917
-0.03515625,0.999633789,0.138427734,-0.026813054,0.003629485,-0.017133005
-0.032592773,0.997558594,0.143920898,-0.011757923,0.008825504,-0.013136067
-0.029907227,0.995117188,0.140625,-0.001232655,0.018684616,-0.009805286
-0.028808594,0.992919922,0.141601563,0.014088937,0.01375506,-0.002744031
-0.024902344,1.001342773,0.143920898,0.020750499,0.002163942,-0.005275424
-0.025024414,1.006835938,0.133178711,0.015687712,0.00416241,-0.011670524
-0.014038086,0.994140625,0.137329102,0.008892919,0.046396714,-0.026592423
-0.014160156,1.000488281,0.141601563,0.007827069,0.078105749,-0.026725654
-0.020996094,1.004638672,0.146972656,0.017552949,0.094626423,-0.010071749
-0.041992188,1.025878906,0.13684082,0.025680055,0.048261951,0.016441268
-0.041870117,1.023193359,0.141357422,0.023548355,0.031075121,0.025101299
-0.032348633,1.021850586,0.138305664,0.006361525,0.039868383,0.023635755
-0.022460938,1.017944336,0.136230469,-0.009892686,0.06318385,0.014442799
-0.00793457,0.997680664,0.135864258,-0.048130052,0.093560573,-0.001544949
0.004882813,0.999145508,0.136962891,-0.062652257,0.098490129,-0.010871136
-0.002075195,1.006835938,0.133666992,-0.073976913,0.102087372,-0.015933923
-0.006225586,1.001464844,0.141113281,-0.101156086,0.120473283,-0.008872668
-0.019897461,0.98046875,0.143920898,-0.109283192,0.161108812,0.002052294
-0.034423828,0.990600586,0.148071289,-0.106352104,0.276353835,0.045085985
-0.051757813,1.009399414,0.162231445,-0.071179057,0.236251232,0.087586751
-0.05090332,1.013305664,0.166748047,-0.047996821,0.168303299,0.099044637
-0.050170898,1.015625,0.155761719,-0.027345979,0.094892885,0.077461176
-0.048706055,1.029174805,0.143554688,-0.032142303,0.151915856,0.032029323
-0.055419922,1.037597656,0.140869141,-0.046398046,0.136860726,-0.002211106
-0.05859375,1.024047852,0.142333984,-0.046664508,0.085300236,-0.01233668
-0.048461914,1.003662109,0.145874023,-0.07157875,0.018951078,-0.030056435
-0.042236328,0.967041016,0.151489258,-0.084768643,0.060385994,-0.036851228
-0.036987305,0.961547852,0.153076172,-0.071312288,0.148851538,-0.023661335
-0.057128906,0.975097656,0.165039063,-0.048263283,0.128467158,-0.003676649
-0.063232422,0.98034668,0.157592773,-0.001499118,0.01482091,0.04775061
-0.043945313,0.974609375,0.159057617,0.021816349,-0.039670668,0.066802677
-0.021850586,0.970458984,0.154418945,0.03154223,-0.035673731,0.063072202
-0.015014648,0.973266602,0.162353516,0.044598891,-0.017687513,0.030697011
-0.010498047,0.992919922,0.151489258,0.042467191,-0.017421051,0.007248312
-0.011474609,1.01171875,0.150512695,0.037004711,-0.019685982,-0.035652147
-0.009521484,1.015869141,0.160522461,0.032341617,-0.034874343,-0.04884204
-0.005249023,1.022949219,0.162353516,0.020750499,-0.059388891,-0.063763939
-0.001342773,1.005981445,0.159301758,0.024747436,-0.041269443,-0.065895639
0.001953125,1.016601563,0.15612793,0.011690775,0.036404371,-0.054970677
0.00378418,1.027709961,0.154785156,-0.002564968,0.064382931,-0.044445409
0.001708984,1.028564453,0.162963867,-0.030543528,0.060519225,-0.014734842
0.004638672,1.024414063,0.17199707,-0.03720509,0.053457969,0.010445862
0.00012207,1.020507813,0.164550781,-0.048263283,0.075441124,0.013909874
-0.01550293,1.02746582,0.172119141,-0.060520558,0.137793345,0.015375418
-0.022460938,1.028198242,0.174316406,-0.065183651,0.139658582,0.017640349
-0.020629883,1.025146484,0.163085938,-0.074909531,0.134329332,0.01777358
-0.02355957,1.030151367,0.167480469,-0.082104018,0.171900542,0.014309568
-0.040771484,1.032348633,0.170410156,-0.074376607,0.158843881,0.02630038
-0.040039063,1.029907227,0.171630859,-0.056123927,0.006560573,0.062672509
-0.020385742,1.009277344,0.166137695,-0.046398046,-0.04206883,0.069067608
-0.010742188,0.999511719,0.165283203,-0.036272472,0.046396714,0.05321309
-0.010864258,0.996948242,0.173217773,-0.026813054,0.096758123,0.046018603
-0.018554688,0.996704102,0.175415039,0.000366119,0.043998551,0.041222279
