AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-0.037719727,1.008422852,0.109619141,0.063581678,-0.02112408,-0.006991176
-0.037963867,1.004516602,0.127319336,0.092626089,-0.014995443,-0.010321957
-0.037597656,1.006347656,0.134765625,0.09595687,-0.024588092,-0.014318894
-0.034057617,1.002807617,0.142944336,0.077970652,-0.035379822,-0.027642018
-0.026733398,1.003173828,0.13671875,0.048260086,0.018712061,-0.04069868
-0.026733398,1.003051758,0.137084961,0.037601587,0.045624772,-0.037367899
-0.029174805,1.003540039,0.127197266,0.029474481,0.026572704,-0.009256107
-0.028564453,1.002685547,0.133911133,0.028408631,0.004056625,0.004333479
-0.024291992,0.99987793,0.1328125,0.019482138,0.018845293,0.007930723
-0.025024414,1.008422852,0.124267578,0.011621495,0.057615584,0.001668855
-0.028442383,1.009277344,0.12890625,-0.001435167,0.081597207,-0.004326551
-0.03503418,1.01953125,0.128173828,-0.001035473,0.04975494,-0.003260701
-0.037109375,1.01965332,0.121337891,0.005359626,0.024707467,-0.007257639
-0.032470703,1.01940918,0.131591797,0.005492858,0.056682965,-0.01924845
-0.036010742,1.017211914,0.135009766,-0.000502548,0.05615004,-0.022845694
-0.023681641,1.008178711,0.142822266,-0.015024753,0.03789736,-0.020713994
-0.015869141,1.005004883,0.140136719,-0.021952778,0.04975494,-0.020047838
-0.013061523,0.999023438,0.13269043,-0.027148796,0.0905237,-0.013785969
-0.020751953,0.998046875,0.131713867,-0.024217709,0.087059688,-0.007257639
-0.028564453,1.000366211,0.132446289,-0.017156453,0.05295249,0.007531029
-0.033935547,0.999023438,0.125732422,-0.015824141,0.048022934,0.006998104
-0.044921875,0.999023438,0.108886719,-0.010228429,0.06694177,0.000869467
-0.048339844,1.002685547,0.112792969,-0.002900711,0.077999963,-0.000329614
-0.048461914,1.005493164,0.119873047,0.01215442,0.07760027,0.001802086
-0.045532227,1.003540039,0.120727539,0.017217207,0.063078064,0.001269161
-0.041015625,1.005981445,0.122680664,0.015085507,0.029237329,-0.005925326
-0.034301758,1.011108398,0.124633789,0.013886426,0.024840698,-0.010854882
-0.036865234,1.006713867,0.118896484,0.011754726,0.02390808,-0.015917669
-0.028686523,1.004760742,0.114501953,0.010422413,0.020044374,-0.015784438
-0.024902344,1.005859375,0.123779297,0.00043007,0.044692153,-0.01058842
-0.021728516,1.000732422,0.118774414,-0.003433636,0.059480821,-0.003260701
-0.029052734,0.996704102,0.127075195,-0.006764417,0.051753409,0.01512521
-0.037719727,0.992431641,0.130737305,0.000563302,0.03043641,0.027116021
-0.036010742,0.999267578,0.124023438,0.016018126,0.030036717,0.012593816
-0.036499023,1.000366211,0.123657227,0.027476012,0.034966273,-0.001262233
-0.04309082,1.009399414,0.122558594,0.049059473,0.033900423,-0.02564355
-0.038696289,1.012329102,0.130737305,0.055054879,0.023508386,-0.030040181
-0.027099609,1.018920898,0.125,0.04546223,0.013516043,-0.026309706
-0.02355957,1.021728516,0.130615234,0.010289182,0.015914205,-0.024844162
-0.021850586,1.012695313,0.127075195,-0.005565335,0.042427222,-0.024044775
-0.024658203,1.009399414,0.12878418,-0.023951247,0.056816196,-0.008856413
-0.029785156,1.012207031,0.127563477,-0.016889991,0.014848355,0.01192766
-0.031738281,1.005615234,0.126708984,-0.011960435,0.011784037,0.013792897
-0.036376953,1.006225586,0.118652344,-0.003300404,0.045624772,0.000869467
-0.041870117,1.007202148,0.118041992,0.004959933,0.062545139,-0.009789032
-0.041748047,1.006835938,0.129882813,0.031872643,0.054284803,-0.016317363
-0.042236328,1.006347656,0.122314453,0.04226468,0.03469981,-0.0160509
-0.041259766,0.998168945,0.127197266,0.051590867,0.011251112,-0.017383213
-0.036499023,0.999389648,0.132202148,0.050924711,0.014715124,-0.023645081
-0.028686523,1.006835938,0.135375977,0.045328999,0.033367498,-0.035635893
-0.01184082,1.006835938,0.139648438,0.027609244,0.039762597,-0.028308175
-0.005371094,1.008789063,0.131958008,0.016950744,0.034833041,-0.017782907
-0.001708984,1.012939453,0.130126953,0.007624557,0.035365966,-0.007923795
-0.013793945,1.024536133,0.122314453,0.011621495,0.103580362,0.008996573
-0.025878906,1.027587891,0.125976563,0.020547988,0.108110224,0.009263035
-0.046508789,1.030883789,0.119140625,0.044129917,0.110508386,0.006864873
-0.05480957,1.026733398,0.125366211,0.055854267,0.107577299,0.002335011
-0.054077148,1.015258789,0.12878418,0.054388723,0.060813133,-0.024044775
-0.026489258,1.010986328,0.136474609,0.00575932,0.020444067,-0.066279078
-0.01159668,1.008056641,0.140869141,-0.03287774,0.023241923,-0.08040159
-0.001098633,1.008666992,0.140991211,-0.072580649,0.043359841,-0.082799752
-0.004516602,0.996704102,0.146850586,-0.139462732,0.064543608,-0.039499599
-0.014892578,0.99597168,0.139404297,-0.157848643,0.003124006,0.041904689
-0.031616211,1.001586914,0.145019531,-0.162378506,-0.03191581,0.074279881
-0.040893555,0.994995117,0.150878906,-0.191156454,-0.054298659,0.102658135
-0.041748047,0.995727539,0.143920898,-0.205945121,-0.050568184,0.103457522
-0.041625977,0.995239258,0.128173828,-0.195153391,-0.050301721,0.08600423
-0.044189453,1.009033203,0.107666016,-0.161579118,-0.054032196,0.068684169
-0.049316406,1.007568359,0.094848633,-0.0693831,-0.055897433,0.022452928
-0.052978516,1.021362305,0.099365234,-0.010894585,-0.064690695,0.000469773
-0.049926758,1.019287109,0.106323242,0.096623026,-0.075349195,-0.0267094
-0.03894043,1.017456055,0.116943359,0.127399443,-0.061226683,-0.036568512
-0.036010742,1.019165039,0.131713867,0.135793011,-0.012064355,-0.051756873
-0.039550781,1.012817383,0.145629883,0.122736349,-0.007268031,-0.055620579
-0.040527344,1.01550293,0.142944336,0.111811388,-0.025920404,-0.051223948
-0.047363281,1.009155273,0.154907227,0.111278463,-0.021523773,-0.042297455
-0.049072266,1.006225586,0.163818359,0.112744006,-0.014862211,-0.03536943
-0.049804688,0.990844727,0.182739258,0.08849592,-0.021790236,-0.024178006
-0.037353516,1,0.184448242,0.060250897,-0.007667724,-0.020181069
-0.033447266,1.002319336,0.185913086,0.006558708,0.029770254,-0.011920732
-0.046875,0.989379883,0.191040039,-0.005165642,0.032967804,-0.005658864
-0.046875,0.994873047,0.193603516,-0.021153391,-0.018326224,0.005399329
-0.038574219,1.002197266,0.220458984,-0.05219627,-0.057895902,0.009129804
-0.038818359,0.997192383,0.229248047,-0.166508674,-0.075482426,0.003267629
-0.014282227,1.00769043,0.225830078,-0.302804233,0.092921862,0.011394735
-0.008178711,1.030517578,0.191040039,-0.359294279,0.158871326,0.039506527
0.026000977,0.541015625,-0.147094727,1.147151358,-0.117583498,0.160480493
-0.042236328,0.935791016,0.720825195,2.284679691,-0.466382886,0.101192591
0.036132813,1.285522461,0.396484375,1.915762385,0.522992307,-0.152079997
-0.075073242,1.279907227,0.700439453,1.006992093,0.446117881,-0.200975862
-0.072753906,1.244262695,0.728271484,-0.852649563,-0.285854555,-0.147150441
-0.001464844,1.223266602,0.331420898,-1.917966563,-0.028984723,-0.043363305
0.008178711,1.194091797,0.180541992,-2.058525522,0.140352184,0.040172683
0.03125,1.112304688,-0.081542969,-1.663761356,0.064543608,0.239886313
0.054931641,1.068481445,-0.179443359,-1.247680192,0.032035185,0.314629039
0.094360352,0.976074219,-0.236694336,-0.25950408,0.241474696,0.362459054
0.087158203,0.948608398,-0.18347168,0.194947682,0.341264895,0.338743893
0.031982422,0.931518555,0.003051758,0.810476013,0.347127069,0.229627507
0.000610352,0.92980957,0.112426758,0.925854268,0.322079596,0.155151244
-0.060302734,0.950317383,0.305419922,0.812474482,0.287572705,0.001269161
-0.082641602,0.975952148,0.377929688,0.62968122,0.226019872,-0.047227011
-0.107177734,0.984863281,0.442993164,0.122603118,-0.049502334,-0.096389339
-0.081176758,0.985717773,0.412719727,-0.140928276,-0.120514585,-0.110112156
-0.005004883,0.974731445,0.297607422,-0.496255995,-0.088139394,-0.100652738
0.014404297,0.987182617,0.233520508,-0.544352472,-0.13397094,-0.073340334
0.033813477,0.998291016,0.104370117,-0.437234555,-0.239090389,-0.011121345
0.044677734,0.994628906,0.059570313,-0.332781262,-0.206182273,0.011661198
0.048217773,1.006958008,0.015625,-0.071381568,-0.115451798,0.054295195
0.052001953,1.017822266,0.062011719,0.070243241,-0.102395136,0.091333479
0.045654297,1.020263672,0.103515625,0.299267743,-0.088006162,0.178599942
0.011474609,1.026367188,0.178222656,0.352427008,-0.026053636,0.201782178
-0.02331543,1.021362305,0.202148438,0.322716441,0.095320025,0.188459054
-0.061279297,1.012084961,0.221557617,0.175895614,0.100382812,0.135832714
-0.081787109,0.988037109,0.180664063,0.039200361,0.175791694,0.073880187
-0.092041016,0.991577148,0.156494141,0.011355032,0.190180668,0.055494276
-0.106933594,0.992675781,0.12121582,0.026543394,0.161935645,0.057759207
-0.106811523,0.970581055,0.090820313,0.054521954,0.144349121,0.065220156
-0.102050781,0.959106445,0.073120117,0.098887957,0.181254175,0.074812806
-0.082397461,0.963012695,0.065551758,0.115008937,0.297565048,0.107187997
-0.077514648,0.967895508,0.069213867,0.097955339,0.293168417,0.123975133
-0.063842773,0.955444336,0.045898438,0.104750132,0.186849887,0.155550937
-0.053833008,0.949707031,0.078613281,0.123269274,0.175525231,0.165942974
-0.024658203,0.977172852,0.104492188,0.081301433,0.234813134,0.189258441
0.001342773,1.017211914,0.117553711,-0.088301936,0.229883578,0.236821994
0.01159668,1.016113281,0.150268555,-0.18862506,0.221090316,0.223765333
0.055664063,1.031860352,0.151733398,-0.383675596,0.218425691,0.173270692
0.072143555,1.037719727,0.128417969,-0.455487235,0.212563516,0.137165026
0.046630859,1.041748047,0.047119141,-0.444961967,0.133024466,0.040705608
0.004638672,1.006835938,-0.006347656,-0.366222304,0.083462444,-0.0267094
-0.012207031,1.021362305,0.213867188,-0.339176362,-0.07588212,-0.11477525
0.03918457,1.031738281,0.176513672,-0.364357066,-0.068154708,-0.099320426
0.081665039,1.039550781,0.174804688,-0.373550022,0.096119412,0.014592285
0.051147461,1.059082031,0.197143555,-0.367421385,0.105045905,0.077077737
0.036132813,1.048706055,0.127197266,-0.274958904,-0.113853023,0.235622913
0.025146484,1.067382813,0.22277832,-0.22193287,-0.299977066,0.350468242
0.009765625,1.108520508,0.252441406,-0.264167173,-0.574033728,0.585887845
0.043334961,1.149414063,0.181274414,-0.375282028,-0.617067419,0.720851091
0.029785156,1.10534668,0.141845703,-0.657066102,-0.48077186,0.959734706
0.024047852,1.041992188,0.312133789,-0.787765949,-0.385511523,1.100959821
0.0078125,1.025512695,0.34362793,-1.070749104,-0.23162944,1.350102241
0.037963867,0.988525391,0.315917969,-1.157882335,-0.168078138,1.454289071
0.064819336,0.990356445,0.284423828,-1.179066103,-0.227232809,1.746065488
0.085083008,0.870117188,0.323852539,-1.1325684,-0.317830053,1.919266101
0.104858398,0.814697266,0.340698242,-1.021586776,-0.547520711,2.329618322
0.211303711,0.828857422,0.319091797,-1.026649563,-0.730180742,2.584489685
0.291870117,0.887084961,0.333496094,-1.1304367,-1.087240467,3.082641294
0.363647461,0.794189453,0.323242188,-1.15841526,-1.132539089,3.294345735
0.379272461,0.796264648,0.337158203,-1.122309594,-0.718856087,3.673921539
0.402099609,0.634765625,0.216552734,-1.054761355,-0.410026071,3.799691831
0.407226563,0.643920898,0.198486328,-0.856779732,-0.351137863,4.00899811
0.598022461,0.681762695,0.440307617,-0.832131952,-0.653039854,4.261471311
0.743408203,0.687255859,0.403442383,-0.752726133,-0.781874464,4.365658141
0.731445313,0.716064453,0.329467773,-0.701831799,-0.827039854,4.365658141
0.717407227,0.720214844,0.298828125,-0.560473453,-0.703401263,4.365658141
0.906738281,0.657104492,0.279785156,-0.542886929,-0.551784111,4.365658141
0.989257813,0.580322266,0.239990234,-0.653868552,-0.171408919,4.365658141
0.989624023,0.385131836,0.395874023,-0.712889992,0.009785568,4.365658141
0.910766602,0.268066406,0.458984375,-0.606171768,0.185117881,4.119047114
0.905517578,0.158691406,0.471435547,-0.504649563,0.126496135,3.930391678
0.948242188,0.080200195,0.455932617,-0.237254463,-0.149292533,3.622893974
0.961669922,0.029907227,0.409912109,-0.131335627,-0.244153176,3.462217098
