AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
-0.056030273,1.00402832,0.14831543,-0.001048263,0.039900625,0.013585856
-0.055908203,1.008178711,0.149902344,-0.004379044,0.036303381,0.026376055
-0.055541992,1.012939453,0.153320313,-0.003979351,0.040300319,0.035835473
-0.057250977,0.997802734,0.150024414,-0.007976288,0.032173213,0.037167786
-0.057861328,0.99230957,0.152832031,-0.00824275,0.022847026,0.040631798
-0.059326172,0.995605469,0.151733398,0.007345305,0.017517776,0.042230573
-0.055908203,1.011108398,0.145385742,0.018936423,0.015919002,0.034503161
-0.050415039,1.017944336,0.141357422,0.04331774,0.031373825,0.012386775
-0.054443359,1.009155273,0.142822266,0.055042089,0.059352386,0.003726744
-0.058837891,1.003295898,0.147094727,0.057973176,0.05229113,0.004526132
-0.054199219,1.002685547,0.142211914,0.062236576,0.030041513,-0.005066518
-0.052978516,1.008300781,0.147094727,0.065833819,0.042032325,-0.019588723
-0.057983398,1.005615234,0.1484375,0.059039026,0.05122528,-0.017057329
-0.059936523,1.003295898,0.151367188,0.038121721,0.014986383,-0.005732674
-0.051879883,1.003540039,0.146240234,0.016937954,0.014853152,-0.004533593
-0.042602539,0.99621582,0.141601563,-0.004645507,0.049626505,-0.017190561
-0.043701172,0.994995117,0.148925781,-0.019167712,0.064281942,-0.019988417
-0.049316406,0.994628906,0.141113281,-0.04474811,0.0436311,-0.01172808
-0.054321289,0.994262695,0.143798828,-0.043948723,0.023513182,0.008523069
-0.051757813,0.996337891,0.137329102,-0.040617942,0.018050701,0.017582793
-0.053100586,1.004882813,0.128540039,-0.017968631,0.01471992,0.026642518
-0.048950195,1.005371094,0.13269043,0.014140098,0.019915939,0.026642518
-0.041992188,1.000610352,0.130004883,0.04012019,0.022314101,0.013186162
-0.042480469,1.010986328,0.127563477,0.067565826,0.038568312,-0.008930224
-0.05480957,1.013305664,0.135009766,0.08848313,0.060551467,-0.00320128
-0.057373047,1.01171875,0.134277344,0.096210542,0.044430487,0.017582793
-0.062866211,1.011962891,0.143188477,0.093679149,0.014320227,0.027441905
-0.049804688,1.006225586,0.153564453,0.086218199,0.008058358,0.022512349
-0.040161133,1.00793457,0.151245117,0.04438359,0.031240594,-0.002934818
-0.041625977,1.00793457,0.147094727,0.007212074,0.057353917,-0.014126242
-0.047851563,1.014648438,0.149658203,-0.019167712,0.067479492,-0.014792398
-0.057495117,1.016479492,0.147949219,-0.026095737,0.068811804,-0.010129305
-0.059082031,1.013549805,0.146972656,-0.029426518,0.067213029,0.005858444
-0.059570313,1.014282227,0.143432617,-0.034356074,0.054689293,0.014385244
-0.048583984,1.011474609,0.143676758,-0.044215185,0.055355449,0.003460282
-0.04675293,1.011474609,0.137329102,-0.050876747,0.070943504,0.000395963
-0.048828125,1.000854492,0.142333984,-0.061668478,0.108647945,0.005725213
-0.058959961,0.999511719,0.138305664,-0.066331571,0.103984852,0.016250481
-0.063842773,0.990478516,0.134521484,-0.065665415,0.069211498,0.033703773
